file,line,old_name,new_name,reason
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel+ServerModel.swift,61,ReusablePaymentAddressModel,ReusablePaymentAddress,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+AddressModel.swift,4,AddressModel,Address,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+AddressModel.swift,5,GetBalanceModel,GetBalance,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+AddressModel.swift,10,GetFirstUseModel,GetFirstUse,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+AddressModel.swift,17,GetHistoryItemModel,GetHistoryItem,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+AddressModel.swift,24,GetMempoolItemModel,GetMempoolItem,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+AddressModel.swift,33,ListUnspentItemModel,ListUnspentItem,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+AddressModel.swift,42,SubscribeParametersModel,SubscribeParameters,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+BlockModel.swift,4,BlockModel,Block,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+BlockModel.swift,6,HeaderParametersModel,HeaderParameters,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+BlockModel.swift,10,ProofModel,Proof,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+BlockModel.swift,35,HeadersModel,Headers,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+BlockModel.swift,43,CodingKeysModel,CodingKeys,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+HeaderModel.swift,4,HeaderModel,Header,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+HeaderModel.swift,5,GetModel,Get,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+HeadersModel.swift,4,HeadersModel,Headers,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+HeadersModel.swift,5,GetTipModel,GetTip,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+HeadersModel.swift,11,SubscribeParametersModel,SubscribeParameters,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+ScriptHashModel.swift,4,ScriptHashModel,ScriptHash,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+ScriptHashModel.swift,5,GetBalanceModel,GetBalance,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+ScriptHashModel.swift,10,GetFirstUseModel,GetFirstUse,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+ScriptHashModel.swift,17,GetHistoryItemModel,GetHistoryItem,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+ScriptHashModel.swift,24,GetMempoolItemModel,GetMempoolItem,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+ScriptHashModel.swift,31,ListUnspentItemModel,ListUnspentItem,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+ScriptHashModel.swift,40,SubscribeParametersModel,SubscribeParameters,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+TransactionModel.swift,4,TransactionModel,Transaction,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+TransactionModel.swift,8,GetParametersModel,GetParameters,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+TransactionModel.swift,12,DetailedModel,Detailed,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+TransactionModel.swift,26,InputModel,Input,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+TransactionModel.swift,32,ScriptSigModel,ScriptSig,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+TransactionModel.swift,38,OutputModel,Output,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+TransactionModel.swift,43,ScriptPubKeyModel,ScriptPubKey,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+TransactionModel.swift,72,GetConfirmedBlockHashModel,GetConfirmedBlockHash,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+TransactionModel.swift,80,GetMerkleModel,GetMerkle,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+TransactionModel.swift,86,IDFromPosModel,IDFromPos,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+TransactionModel.swift,92,SubscribeParametersModel,SubscribeParameters,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+TransactionModel.swift,96,TransactionHashAndHeightModel,TransactionHashAndHeight,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+TransactionModel.swift,140,DSProofModel,DSProof,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+TransactionModel.swift,141,GetModel,Get,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+TransactionModel.swift,148,OutpointModel,Outpoint,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+TransactionModel.swift,157,SubscribeParametersModel,SubscribeParameters,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+TransactionModel.swift,161,TransactionHashAndDSProofModel,TransactionHashAndDSProof,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+UTXOModel.swift,4,UTXOModel,UTXO,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.JSONRPCModel.ResultModel.BlockchainModel+UTXOModel.swift,5,GetInfoModel,GetInfo,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel+BlockchainModel.swift,4,BlockchainModel,Blockchain,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel+MempoolModel.swift,4,MempoolModel,Mempool,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel+MempoolModel.swift,5,GetInfoModel,GetInfo,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel+MempoolModel.swift,22,GetFeeHistogramModel,GetFeeHistogram,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel+MempoolModel.swift,25,ResultModel,Result,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel+ServerModel.swift,4,ServerModel,Server,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel+ServerModel.swift,5,PingModel,Ping,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel+ServerModel.swift,15,VersionModel,Version,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel+ServerModel.swift,31,FeaturesModel,Features,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel+ServerModel.swift,67,HostModel,Host,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel+ServerModel.swift,81,ReusablePaymentAddressModel,ReusablePaymentAddress,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+AddressModel.swift,4,AddressModel,Address,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+AddressModel.swift,5,GetBalanceModel,GetBalance,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+AddressModel.swift,16,GetFirstUseModel,GetFirstUse,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+AddressModel.swift,36,GetHistoryModel,GetHistory,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+AddressModel.swift,38,TransactionModel,Transaction,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+AddressModel.swift,56,GetMempoolModel,GetMempool,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+AddressModel.swift,58,TransactionModel,Transaction,DuplicateRoleSuffix
